COUNTRY,TOTAL_VACCINATIONS
Afghanistan,2367948.0
Albania,1665590.0
Algeria,9989662.0
American Samoa,58228.0
Andorra,93430.0
Angola,2820134.0
Anguilla,18565.0
Antigua and Barbuda,81298.0
Argentina,43696315.0
Armenia,366779.0
Aruba,153671.0
Australia,22669372.0
Austria,10750025.0
Azerbaijan,8043423.0
Bahamas,173130.0
Bahrain,2543817.0
Bangladesh,38430617.0
Barbados,219970.0
Belarus,3206505.0
Belgium,16500122.0
Belize,270742.0
Benin,214396.0
Bermuda,86194.0
Bhutan,1068414.0
Bolivia (Plurinational State of),6363625.0
Bonaire,29255.0
"Bonaire, Sint Eustatius and Saba",7391.0
Bosnia and Herzegovina,1060145.0
Botswana,379684.0
Brazil,207860768.0
British Virgin Islands,31704.0
Brunei Darussalam,370287.0
Bulgaria,2481276.0
Burkina Faso,254545.0
Cabo Verde,402075.0
Cambodia,20554497.0
Cameroon,459397.0
Canada,54807381.0
Cayman Islands,104609.0
Central African Republic,185678.0
Chad,123052.0
Chile,30673101.0
China,2143864359.0
Colombia,38002826.0
Comoros,336863.0
Congo,216014.0
Cook Islands,21761.0
Costa Rica,4872085.0
Côte d’Ivoire,1758966.0
Croatia,3380570.0
Cuba,17208732.0
Curaçao,185136.0
Cyprus,1141805.0
Czechia,11737482.0
Democratic Republic of the Congo,134860.0
Denmark,8744427.0
Djibouti,66010.0
Dominica,43971.0
Dominican Republic,11585713.0
Ecuador,20320001.0
Egypt,12964351.0
El Salvador,7013347.0
Equatorial Guinea,381835.0
Estonia,1342009.0
Eswatini,239551.0
Ethiopia,3281470.0
Falkland Islands (Malvinas),4407.0
Faroe Islands,73404.0
Fiji,907249.0
Finland,7410452.0
France,92262410.0
French Guiana,139674.0
French Polynesia,235567.0
Gabon,177392.0
Gambia,198322.0
Georgia,1686412.0
Germany,106070782.0
Ghana,1623582.0
Gibraltar,79335.0
Greece,11934359.0
Greenland,76879.0
Grenada,51610.0
Guadeloupe,201607.0
Guam,220574.0
Guatemala,5862778.0
Guernsey,101586.0
Guinea,1486374.0
Guinea-Bissau,94715.0
Guyana,518295.0
Haiti,57341.0
Honduras,4381368.0
Hungary,
Iceland,548904.0
India,818513827.0
Indonesia,127209288.0
Iran (Islamic Republic of),43372270.0
Iraq,7448300.0
Ireland,7146326.0
Isle of Man,129296.0
Israel,14771682.0
Italy,82949592.0
Jamaica,699529.0
Japan,144312589.0
Jersey,150652.0
Jordan,6866023.0
Kazakhstan,13536123.0
Kenya,3507836.0
Kiribati,36258.0
Kosovo,1193786.0
Kuwait,2380000.0
Kyrgyzstan,1361717.0
Lao People's Democratic Republic,3664650.0
Latvia,1591932.0
Lebanon,2929966.0
Lesotho,332954.0
Liberia,248645.0
Libya,1501622.0
Liechtenstein,46088.0
Lithuania,3339375.0
Luxembourg,777789.0
Madagascar,381633.0
Malawi,1061153.0
Malaysia,37395688.0
Maldives,723682.0
Mali,397853.0
Malta,813115.0
Marshall Islands,38923.0
Martinique,202715.0
Mauritania,876371.0
Mauritius,1633952.0
Mexico,94144251.0
Micronesia (Federated States of),67963.0
Monaco,49980.0
Mongolia,4545348.0
Montenegro,436177.0
Montserrat,2856.0
Morocco,39523919.0
Mozambique,3644423.0
Myanmar,9001616.0
Namibia,297066.0
Nauru,14790.0
Nepal,11804373.0
Netherlands,22253571.0
New Caledonia,175794.0
New Zealand,4229686.0
Nicaragua,769105.0
Niger,512294.0
Nigeria,6186647.0
Niue,2352.0
North Macedonia,1465229.0
Northern Mariana Islands (Commonwealth of the),68474.0
Norway,7658562.0
occupied Palestinian territory,1206277.0
Oman,4636486.0
Pakistan,75955215.0
Palau,29734.0
Panama,5252959.0
Papua New Guinea,164776.0
Paraguay,4401222.0
Peru,22778732.0
Philippines,37728114.0
Pitcairn Islands,73.0
Poland,37007048.0
Portugal,15843836.0
Puerto Rico,4508079.0
Qatar,4675941.0
Republic of Korea,51832703.0
Republic of Moldova,1372335.0
Romania,9971012.0
Russia,88138610.0
Rwanda,3340448.0
Saba,1300.0
Saint Helena,7892.0
Saint Kitts and Nevis,46884.0
Saint Lucia,71517.0
Saint Vincent and the Grenadines,32626.0
Samoa,142216.0
San Marino,47082.0
Sao Tome and Principe,73223.0
Saudi Arabia,41325560.0
Senegal,1747662.0
Serbia,6332498.0
Seychelles,148402.0
Sierra Leone,221110.0
Singapore,8846497.0
Sint Eustatius,2800.0
Sint Maarten,49159.0
Slovakia,4660405.0
Slovenia,2071489.0
Solomon Islands,97744.0
Somalia,430762.0
South Africa,15970308.0
South Sudan,100621.0
Spain,69549078.0
Sri Lanka,25110877.0
Sudan,1499982.0
Suriname,374184.0
Sweden,13492198.0
Switzerland,10190410.0
Syrian Arab Republic,533949.0
Tajikistan,3872421.0
Thailand,43864450.0
The United Kingdom,93059140.0
Timor-Leste,675891.0
Togo,832822.0
Tokelau,968.0
Tonga,73603.0
Trinidad and Tobago,1009873.0
Tunisia,7132375.0
Turkey,106066262.0
Turkmenistan,41993.0
Turks and Caicos Islands,52374.0
Tuvalu,10861.0
Uganda,1643067.0
Ukraine,11681589.0
United Arab Emirates,19713423.0
United Republic of Tanzania,389807.0
United States of America,388936652.0
Uruguay,5983253.0
Uzbekistan,17435318.0
Vanuatu,57171.0
Venezuela (Bolivarian Republic of),11094206.0
Viet Nam,25926688.0
Wallis and Futuna,9902.0
Yemen,322934.0
Zambia,697261.0
Zimbabwe,5044188.0
